date,type,link,kubikmeter,produkt,currency,price,category,subcategory
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,12.0,Holzabfälle AⅣ (schadstoffbelastet),€,585.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,15.0,Holzabfälle AⅣ (schadstoffbelastet),€,670.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,20.0,Holzabfälle AⅣ (schadstoffbelastet),€,810.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,22.0,Holzabfälle AⅣ (schadstoffbelastet),€,915.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,25.0,Holzabfälle AⅣ (schadstoffbelastet),€,955.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Rigips & gipshaltige Baustoffe,€,335.0,Gips,& gipshaltige Baustoffe
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Rigips & gipshaltige Baustoffe,€,440.0,Gips,& gipshaltige Baustoffe
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Rigips & gipshaltige Baustoffe,€,530.0,Gips,& gipshaltige Baustoffe
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Rigips & gipshaltige Baustoffe,€,665.0,Gips,& gipshaltige Baustoffe
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,12.0,Rigips & gipshaltige Baustoffe,€,810.0,Gips,& gipshaltige Baustoffe
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,15.0,Rigips & gipshaltige Baustoffe,€,925.0,Gips,& gipshaltige Baustoffe
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,"Ytong, Poren- & Gasbeton",€,375.0,Porenbeton,Poren- & Gasbeton
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,"Ytong, Poren- & Gasbeton",€,510.0,Porenbeton,Poren- & Gasbeton
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.5,"Ytong, Poren- & Gasbeton",€,595.0,Porenbeton,Poren- & Gasbeton
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,"Ytong, Poren- & Gasbeton",€,620.0,Porenbeton,Poren- & Gasbeton
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,"Ytong, Poren- & Gasbeton",€,720.0,Porenbeton,Poren- & Gasbeton
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,"Ytong, Poren- & Gasbeton",€,815.0,Porenbeton,Poren- & Gasbeton
2025-10-08 01:24:23,Other,www.clearago.de,2.0,Gewerblicher Elektroschrott,€,270.0,,
2025-10-08 01:24:23,Other,www.clearago.de,2.0,Gewerblicher Elektroschrott,€,270.0,,
2025-10-08 01:24:23,Other,www.clearago.de,4.0,Gewerblicher Elektroschrott,€,540.0,,
2025-10-08 01:24:23,Other,www.clearago.de,6.0,Gewerblicher Elektroschrott,€,810.0,,
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Flachglas / Bauglas,€,610.0,Bauglas,Bauglas
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Flachglas / Bauglas,€,765.0,Bauglas,Bauglas
2025-10-08 01:24:23,Gewerbeabfälle,www.clearago.de,3.0,Gemischte Gewerbeabfälle,€,370.0,Gewerbeabfälle,general
2025-10-08 01:24:23,Gewerbeabfälle,www.clearago.de,3.0,Gemischte Gewerbeabfälle,€,370.0,Gewerbeabfälle,general
2025-10-08 01:24:23,Gewerbeabfälle,www.clearago.de,5.0,Gemischte Gewerbeabfälle,€,480.0,Gewerbeabfälle,general
2025-10-08 01:24:23,Gewerbeabfälle,www.clearago.de,7.0,Gemischte Gewerbeabfälle,€,585.0,Gewerbeabfälle,general
2025-10-08 01:24:23,Gewerbeabfälle,www.clearago.de,10.0,Gemischte Gewerbeabfälle,€,745.0,Gewerbeabfälle,general
2025-10-08 01:24:23,Gewerbeabfälle,www.clearago.de,12.0,Gemischte Gewerbeabfälle,€,870.0,Gewerbeabfälle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Metallschrott,€,200.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Metallschrott,€,200.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Metallschrott,€,210.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,15.0,Metallschrott,€,230.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,20.0,Metallschrott,€,250.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,24.0,Metallschrott,€,260.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,30.0,Metallschrott,€,270.0,Metallschrott,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,36.0,Metallschrott,€,280.0,Metallschrott,general
2025-10-08 01:24:23,Hausmüll,www.clearago.de,3.0,Siedlungsabfall,€,370.0,Hausmüll,general
2025-10-08 01:24:23,Hausmüll,www.clearago.de,3.0,Siedlungsabfall,€,370.0,Hausmüll,general
2025-10-08 01:24:23,Hausmüll,www.clearago.de,5.0,Siedlungsabfall,€,505.0,Hausmüll,general
2025-10-08 01:24:23,Hausmüll,www.clearago.de,7.0,Siedlungsabfall,€,615.0,Hausmüll,general
2025-10-08 01:24:23,Hausmüll,www.clearago.de,10.0,Siedlungsabfall,€,780.0,Hausmüll,general
2025-10-08 01:24:23,Hausmüll,www.clearago.de,12.0,Siedlungsabfall,€,915.0,Hausmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,3.0,Sperrmüll,€,335.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,3.0,Sperrmüll,€,335.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,5.0,Sperrmüll,€,500.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,5.5,Sperrmüll,€,540.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,7.0,Sperrmüll,€,585.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,8.0,Sperrmüll,€,670.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,10.0,Sperrmüll,€,765.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,12.0,Sperrmüll,€,915.0,Sperrmüll,general
2025-10-08 01:24:23,Sperrmüll,www.clearago.de,13.0,Sperrmüll,€,995.0,Sperrmüll,general
2025-10-08 01:24:23,Verpackungen,www.clearago.de,3.0,Gemischte Verpackungen,€,300.0,Verpackungen,general
2025-10-08 01:24:23,Verpackungen,www.clearago.de,3.0,Gemischte Verpackungen,€,300.0,Verpackungen,general
2025-10-08 01:24:23,Verpackungen,www.clearago.de,5.0,Gemischte Verpackungen,€,385.0,Verpackungen,general
2025-10-08 01:24:23,Verpackungen,www.clearago.de,7.0,Gemischte Verpackungen,€,410.0,Verpackungen,general
2025-10-08 01:24:23,Verpackungen,www.clearago.de,10.0,Gemischte Verpackungen,€,440.0,Verpackungen,general
