date,link,kubikmeter,produkt,currency,price
2025-10-09 19:00:34,www.clearago.de,10.0,Sperrmüll,€,765.0
2025-10-09 19:00:34,www.clearago.de,12.0,Sperrmüll,€,915.0
2025-10-09 19:00:34,www.clearago.de,13.0,Sperrmüll,€,995.0
2025-10-09 19:00:34,www.clearago.de,3.0,Gemischte Verpackungen,€,300.0
2025-10-09 19:00:34,www.clearago.de,3.0,Gemischte Verpackungen,€,300.0
2025-10-09 19:00:34,www.clearago.de,5.0,Gemischte Verpackungen,€,385.0
2025-10-09 19:00:34,www.clearago.de,7.0,Gemischte Verpackungen,€,410.0
2025-10-09 19:00:34,www.clearago.de,10.0,Gemischte Verpackungen,€,440.0
2025-10-09 19:00:34,www.clearago.de,12.0,Gemischte Verpackungen,€,710.0
2025-10-09 19:00:34,www.clearago.de,15.0,Gemischte Verpackungen,€,830.0
2025-10-09 19:00:34,www.clearago.de,5.0,PE-Folie,€,290.0
2025-10-09 19:00:34,www.clearago.de,5.0,PE-Folie,€,290.0
2025-10-09 19:00:34,www.clearago.de,7.0,PE-Folie,€,305.0
2025-10-09 19:00:34,www.clearago.de,10.0,PE-Folie,€,335.0
2025-10-09 19:00:34,www.clearago.de,12.0,PE-Folie,€,375.0
2025-10-09 19:00:34,www.clearago.de,15.0,PE-Folie,€,405.0
2025-10-09 19:00:34,www.clearago.de,20.0,PE-Folie,€,450.0
2025-10-09 19:00:34,www.clearago.de,25.0,PE-Folie,€,500.0
2025-10-09 19:00:34,www.clearago.de,30.0,PE-Folie,€,550.0
2025-10-09 19:00:34,www.clearago.de,36.0,PE-Folie,€,610.0
2025-10-09 19:00:34,www.clearago.de,40.0,PE-Folie,€,650.0
2025-10-09 18:57:49,www.klebs.info,3,altholz,€,321.3
2025-10-09 18:57:49,www.klebs.info,5,altholz,€,436.73
2025-10-09 18:57:49,www.klebs.info,7,altholz,€,474.81
2025-10-09 18:57:49,www.klebs.info,8,altholz,€,542.64
2025-10-09 18:57:49,www.klebs.info,10,altholz,€,678.3
2025-10-09 18:57:49,www.klebs.info,3,bauabfall,€,464.1
2025-10-09 18:57:49,www.klebs.info,5,bauabfall,€,644.98
2025-10-09 18:57:49,www.klebs.info,7,bauabfall,€,749.7
2025-10-09 18:57:49,www.klebs.info,8,bauabfall,€,856.8
2025-10-09 18:57:49,www.klebs.info,3,bauschutt,€,386.75
2025-10-09 18:57:49,www.klebs.info,5,bauschutt,€,534.31
2025-10-09 18:57:49,www.klebs.info,7,bauschutt,€,658.07
2025-10-09 18:57:49,www.klebs.info,8,bauschutt,€,752.08
2025-10-09 18:57:49,www.klebs.info,10,bauschutt,€,940.01
2025-10-09 18:57:49,www.klebs.info,3,gipsabfall,€,374.85
2025-10-09 18:57:49,www.klebs.info,5,gipsabfall,€,546.53
2025-10-09 18:57:49,www.klebs.info,7,gipsabfall,€,595.11
2025-10-09 18:57:49,www.klebs.info,8,gipsabfall,€,680.13
2025-10-09 18:57:49,www.klebs.info,10,gipsabfall,€,850.16
2025-10-09 18:57:49,www.klebs.info,3,container für behandeltes holz,€,434.35
2025-10-09 18:57:49,www.klebs.info,5,container für behandeltes holz,€,636.65
2025-10-09 18:57:49,www.klebs.info,7,container für behandeltes holz,€,653.91
2025-10-09 18:57:49,www.klebs.info,8,container für behandeltes holz,€,747.32
2025-10-09 18:57:49,www.klebs.info,10,container für behandeltes holz,€,934.15
2025-10-09 18:57:49,www.klebs.info,3,gartenabfall,€,345.1
2025-10-09 18:57:49,www.klebs.info,5,gartenabfall,€,458.15
2025-10-09 18:57:49,www.klebs.info,7,gartenabfall,€,499.8
2025-10-09 18:57:49,www.klebs.info,8,gartenabfall,€,571.2
2025-10-09 18:57:49,www.klebs.info,10,gartenabfall,€,714.0
2025-10-09 18:57:49,www.klebs.info,3,gewerbeabfall-container,€,378.42
2025-10-09 18:57:49,www.klebs.info,5,gewerbeabfall-container,€,527.17
2025-10-09 18:57:49,www.klebs.info,7,gewerbeabfall-container,€,649.74
2025-10-09 18:57:49,www.klebs.info,8,gewerbeabfall-container,€,742.56
2025-10-09 18:57:49,www.klebs.info,10,gewerbeabfall-container,€,928.2
2025-10-09 18:57:49,www.klebs.info,3,sperrmüll,€,345.1
2025-10-09 18:57:49,www.klebs.info,5,sperrmüll,€,523.6
2025-10-09 18:57:49,www.klebs.info,7,sperrmüll,€,574.77
2025-10-09 18:57:49,www.klebs.info,8,sperrmüll,€,656.88
2025-10-09 18:57:49,www.klebs.info,10,sperrmüll,€,821.1
2025-10-09 18:54:32,www.dino-container.de,3,Sperrmüll,€,381.17
2025-10-09 18:54:32,www.dino-container.de,3,Bauschutt,€,370.16
2025-10-09 18:54:32,www.dino-container.de,7,Baumischabfall,€,871.52
2025-10-09 18:54:32,www.dino-container.de,7,Beton,€,322.59
2025-10-09 18:54:32,www.dino-container.de,1,Beton,€,55.0
2025-10-09 18:54:32,www.dino-container.de,10,Gartenabfall,€,491.98
2025-10-09 18:54:32,www.dino-container.de,1,Holz,€,39.0
2025-10-09 18:54:32,www.dino-container.de,1,Abfallgemische,€,109.0
2025-10-09 19:07:33,app.entsorgo.de,3,"Baustellenmischabfall ohne Boden, Bauschutt & Steine Container",€,399.76
2025-10-09 19:07:33,app.entsorgo.de,5,"Baustellenmischabfall ohne Boden, Bauschutt & Steine Container",€,550.73
2025-10-09 19:07:33,app.entsorgo.de,7,"Baustellenmischabfall ohne Boden, Bauschutt & Steine Container",€,771.02
2025-10-09 19:07:33,app.entsorgo.de,3,"Baustellenmischabfall mit Boden, Bauschutt & Steine Container",€,399.76
2025-10-09 19:07:33,app.entsorgo.de,5,"Baustellenmischabfall mit Boden, Bauschutt & Steine Container",€,550.73
2025-10-09 19:07:33,app.entsorgo.de,7,"Baustellenmischabfall mit Boden, Bauschutt & Steine Container",€,771.02
2025-10-09 19:07:33,app.entsorgo.de,3,Sperrmüll Container,€,346.47
2025-10-09 19:07:33,app.entsorgo.de,5,Sperrmüll Container,€,426.43
2025-10-09 19:07:33,app.entsorgo.de,7,Sperrmüll Container,€,597.0
